Scenario,Attribute,Process,Period,Region,Vintage,Timeslice,Pv
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MN_US_WI,2020,WI,0,-,1.67730753282
fix_cb_ts40,VAR_Cap,TRD_ELCC_DC_US_CA_US_OR,2020,CA,0,-,2.78
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_KS_US_OK,2020,KS,0,-,0.330437756478
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MN_US_WI,2020,MN,0,-,1.67730753282
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_KS_US_NE,2020,NE,0,-,0.9548672566
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MN_US_SD,2020,SD,0,-,1.23169538999999
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_KS_US_NE,2020,KS,0,-,0.9548672566
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MN_US_SD,2020,MN,0,-,1.23169538999999
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_KS_US_MO,2020,MO,0,-,2.49228
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MN_US_ND,2020,ND,0,-,2.3259265
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_VA_US_WV,2020,WV,0,-,11.2718457275
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_KS_US_MO,2020,KS,0,-,2.49228
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MN_US_ND,2020,MN,0,-,2.3259265
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IN_US_OH,2020,OH,0,-,7.063388
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_VA_US_WV,2020,VA,0,-,11.2718457275
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MI_US_WI,2020,WI,0,-,0.91015783667
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MI_US_WI,2020,MI,0,-,0.91015783667
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IN_US_OH,2020,IN,0,-,7.063388
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_UT_US_WY,2020,WY,0,-,1.91
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MI_US_OH,2020,OH,0,-,0.3909556479
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IN_US_MI,2020,MI,0,-,2.4553740672
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MI_US_OH,2020,MI,0,-,0.3909556479
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IN_US_MI,2020,IN,0,-,2.4553740672
